Country,Year,gdpgrowth,gini,wealth,gii,ruleoflaw,lnpovhead215,lngovt,lntradeopen,fii,lninflation,lnenrollment,electricity_lag5,account_ownership_lag5,bank_branches_lag7,domestic_credit_lag7,internet_users_lag4,mobile_subscriptions_lag4,urban_population_lag5
Costa Rica,2018,2.6159044043379,48.0,0.6701,0.249,0.467835366725922,0.9162907318741551,2.844661323568548,4.2187035880876005,0.7258309963301128,1.169727453468167,4.863487859450452,99.6,59.82,22.7616703625001,46.0200427541641,53.0,144.9214415,74.97
Costa Rica,2019,2.41751181762513,48.2,0.6839000000000001,0.234,0.529464185237885,0.7419373447293773,2.876453174434536,4.201112037912242,0.7389767812145496,1.1301259276044424,4.927371989059725,99.4,64.55,22.6913491655596,47.4513205823866,59.8,153.9372109,75.941
Costa Rica,2020,-4.27335432161462,49.2,0.6936,0.231,0.498832434415817,1.1939224684724346,2.9287765436804443,4.113164455992415,0.7090077106644617,0.5451757321412702,4.919251022088751,99.4,65.64666666666666,22.2264048054795,49.7299243611404,65.9,168.4594269,76.862
Costa Rica,2021,7.93576224743147,48.7,0.6832,0.216,0.423667222261429,0.7884573603642702,2.863959218603422,4.273628765127668,0.713463231460881,1.0030105017511135,4.957253596038724,99.5,66.74333333333334,22.0041344187277,53.0984453119684,71.6,177.0248638,77.735
Costa Rica,2022,4.55149177958398,47.2,0.6275000000000001,0.209,0.435932785272598,0.6418538861723948,2.797030006198758,4.421578212980856,0.7269613397028418,2.2272983389080556,4.899026889325545,99.6,67.84,22.008151460415,55.1272484302097,73.5,168.5386493,78.56
Costa Rica,2023,5.11192183224598,46.7,0.6274000000000001,0.55,0.389316648244858,0.6418538861723948,2.7646506401068196,4.296904368737677,0.7277113169844871,0.42212129295592765,4.899026889325545,99.7,67.84,21.4715498065871,58.6380537725523,81.2,143.7687874,79.34
El Salvador,2003,1.56539303147618,50.4,0.619,0.455,-0.516855239868164,2.8213788864092133,2.695146243244744,4.237535148749016,0.2043086360958702,1.1379582879898344,4.173738267365641,81.637983,28.630000000000003,10.192834737113252,31.07904711848573,0.845,8.632305466,57.8
El Salvador,2004,0.889404485692197,47.8,0.6232,0.448,-0.490908056497574,2.5257286443082556,2.6926371845943575,4.259608463339973,0.2043086360958702,1.6959722283724494,4.229369612014118,79.129592,28.630000000000003,10.192834737113252,25.006823009155838,1.18,12.48015854,58.357
El Salvador,2005,2.68083009363194,48.5,0.6386000000000001,0.446,-0.505208492279053,2.509599262378372,2.707705423571034,4.25866919252379,0.2232125540423048,1.7388769669354402,4.225651325668393,84.5,28.63,10.192834737113252,35.3789731665476,1.5,14.32478944,58.912
El Salvador,2006,4.3369986028604,45.7,0.622,0.415,-0.691741585731506,2.163323025660538,2.730095315323544,4.310202538161085,0.2393473459547923,1.6168352037458067,4.221386472741511,87.1,28.63,10.192834737113252,45.9128728950283,1.9,14.78584826,59.464
El Salvador,2007,1.84760220587859,45.2,0.6309,0.419,-0.722936034202576,1.8082887711792655,2.73073776565946,4.364639552042902,0.2613318208025565,1.71884565727859,4.219010661252902,87.5,28.63,10.192834737113252,45.9128728950283,2.5,19.07779987,60.014
El Salvador,2008,2.15440298282768,46.9,0.6272,0.409,-0.694341421127319,2.163323025660538,2.7543429193169175,4.402637439472175,0.2747621551564121,2.042248752468848,4.2005774999434795,87.0,28.629999999999995,10.192834737113252,45.9128728950283,3.2,30.36254883,60.561
El Salvador,2009,-2.10876837627522,45.8,0.623,0.401,-0.783321619033813,2.128231705849268,2.839177857978832,4.205754610121652,0.3702726453843415,0.7207381728415727,4.208885109820593,87.4,28.630000000000003,8.522770193628787,45.5604582375641,4.2,39.94412219,61.107
El Salvador,2010,2.15419536693635,43.5,0.6053000000000001,0.398,-0.865749895572662,1.9878743481543455,2.816101986642861,4.3112995058460015,0.2793888501960057,0.7790201371325491,4.229734828766209,87.5,28.63,10.221201598247037,47.4286524146364,5.5,63.82719114,61.648
El Salvador,2011,3.77358499834686,42.3,0.6036,0.398,-0.751709401607513,1.840549633397487,2.818749819231168,4.385478715661373,0.3404803793209681,1.8130191663149828,4.2525963399082585,89.2,28.629999999999995,8.706603733790969,48.1551897350887,6.11,101.542819,62.187
El Salvador,2012,2.88770010188691,41.8,0.6021000000000001,0.381,-0.728603363037109,1.7227665977411035,2.818842407243725,4.364989468147868,0.3353165530686365,1.004204467414227,4.267772777875343,91.1,28.63,11.103658462751364,49.9239191050969,10.1,114.5449835,62.774
El Salvador,2013,2.18295232499635,43.4,0.6383,0.38,-0.637214183807373,1.5260563034950492,2.85104644679976,4.400004000266819,0.3506545667183767,0.5639886043785179,4.307322379643451,91.0,28.63,12.503810476701124,50.2764169762417,12.1,124.2162448,63.678
El Salvador,2014,1.7293998423459,41.6,0.6308,0.382,-0.469334870576859,1.4816045409242156,2.8305136613168953,4.370768824507931,0.4105006735127483,0.7614339846850802,4.297021923846137,91.1,13.76,11.8322047292787,51.5342970603847,15.9,125.9452597,64.57
El Salvador,2015,2.40000008852115,40.6,0.6047,0.378,-0.616807520389557,1.1939224684724346,2.8620546866686367,4.3510553210472125,0.4249815398906969,-0.5489213701821536,4.272465486222886,91.6,13.76,11.8322047292787,51.0548677298855,18.9,135.5007081,65.452
El Salvador,2016,2.53906241135864,40.0,0.6147,0.37,-0.757978737354279,1.2809338454620642,2.8516563008272273,4.301617415938098,0.4426357273980786,0.47253111184178154,4.250336807045909,92.6,13.76,11.8322047292787,54.5525792579328,20.3,140.3764699,66.325
El Salvador,2017,2.24761908134138,38.0,0.5936,0.37,-0.873291909694672,1.1631508098056809,2.8410128020011127,4.321541901711673,0.422708445199457,0.6993051975712267,4.218135155599796,93.7,21.41333333333333,10.799384867038,52.3104277458922,23.1,145.3672715,67.187
El Salvador,2018,2.4124442237792,38.6,0.5941000000000001,0.368,-0.930314421653748,1.0296194171811581,2.8396431120407577,4.339035843242014,0.4273899551219082,0.7373219510332325,4.230136213376382,95.0,29.066666666666663,11.6388878900683,49.9977176790519,24.8,148.0522346,68.036
El Salvador,2019,2.43747159065784,38.8,0.5963,0.358,-0.866013646125793,0.8754687373538999,2.835095158414552,4.344350897718916,0.3923306359849643,0.0726221370638473,4.205917582291117,95.1,36.72,11.2173926022112,49.2960792034564,26.8,149.7999219,68.874
El Salvador,2020,-7.893101359867,38.9,0.6165,0.359,-0.777085423469543,1.2007625204244745,3.029981628678658,4.2115275208269,0.3875565531366572,-0.3159708056261475,4.207718387094608,95.4,34.596666666666664,11.9103951997888,51.5041857038078,29.0,154.1835626,69.7
El Salvador,2021,11.9047617015957,39.0,0.5916,0.369,-0.866383194923401,1.5260563034950492,3.0129222621230394,4.416972309156171,0.3853246544725558,1.496700443425598,4.20522198200863,96.0,32.473333333333336,11.8404613515546,53.2701980017235,33.8,151.2456887,70.501
El Salvador,2022,2.79955216943868,38.8,0.5903,0.366,-0.742217719554901,1.4816045409242156,2.9419043669349585,4.490373537841422,0.4006410419573525,2.1039653785770094,4.194664395079595,96.8,30.35,11.6276751214129,54.0918954267897,43.8,150.3024373,71.275
El Salvador,2023,3.51097706608982,38.8,0.5903,0.92,-0.369357317686081,1.4816045409242156,2.9450528120494406,4.405778340110293,0.4361163945655814,1.6185060606597175,4.200867426992731,97.0,30.35,13.4457310800621,55.0597980078069,50.5,165.5481968,72.023
Honduras,2003,4.54703805165397,58.1,0.679,0.556,-0.936451733112335,3.3141860046725258,2.7676282642583865,4.81420083453329,0.2887985287003758,2.160349228302662,4.505384582815939,66.859519,28.63000000000001,10.192834737113252,20.508411421621133,0.574,1.213271137,44.447
Honduras,2004,6.23230296069102,58.1,0.6742,0.538,-0.850290715694427,3.2733640101522705,2.7732608721922385,4.916044419636732,0.2887985287003758,2.209788757636153,4.066537650122647,67.394103,28.63000000000001,10.192834737113252,22.218722464768803,1.2,2.332543405,44.952
Honduras,2005,6.05059922215973,59.5,0.6738000000000001,0.474,-0.771100759506226,3.261935314328648,2.804729999976304,4.923549499926727,0.2990270149562821,2.2833065246711866,4.066537650122647,67.4,28.63,10.192834737113252,22.2023358040942,1.42,3.475194439,45.458
Honduras,2006,6.56724355177587,57.5,0.669,0.479,-0.98868316411972,3.095577608523707,2.7728250144167608,4.8988231603556365,0.3318308084911203,1.88369305726379,4.066537650122647,64.2,28.63,10.192834737113252,36.6835662057379,2.6,4.651172067,45.964
Honduras,2007,6.18832716678008,55.8,0.6828000000000001,0.478,-0.928942918777466,2.8094026953624978,2.8680337772359645,4.913174125304298,0.3878030127100459,2.071436424676789,4.098889855339998,63.1,28.63,10.192834737113252,36.6835662057379,4.8,5.267541253,46.61
Honduras,2008,4.23160011009342,55.5,0.6785,0.475,-0.971363067626953,2.785011242238338,2.8967308067322866,4.918146801002728,0.4086626787293189,2.5179728119574665,4.100406145309634,65.1,28.629999999999995,10.192834737113252,36.6835662057379,5.6,9.578248846,47.267
Honduras,2009,-2.43162787988011,51.3,0.6612,0.478,-0.895501971244812,2.5877640352277083,2.9806053500927754,4.583997682232132,0.4050777832232826,1.8712393628163881,4.153113070324241,67.1,28.63000000000001,15.0727345737465,36.0320656003149,6.5,16.94021888,47.927
