codeindyr;code;countryname;year;indicator;estimate;stddev;nsource;pctrank;pctranklower;pctrankupper
NICcc1996;NIC;Nicaragua;1996;cc;-0.564544379711151;0.244906529784203;5;33.8709678649902;17.7419357299805;51.075267791748
NERcc1996;NER;Niger;1996;cc;-0.86559009552002;0.315914034843445;3;20.9677410125732;2.68817210197449;45.6989250183105
NGAcc1996;NGA;Nigeria;1996;cc;-1.18900859355927;0.262076586484909;4;8.60215091705322;0;25.8064517974854
NIUcc1996;NIU;Niue;1996;cc;..;..;..;..;..;..
MKDcc1996;MKD;North Macedonia;1996;cc;-0.613846182823181;0.275613814592361;3;32.2580642700195;14.5161294937134;51.075267791748
NORcc1996;NOR;Norway;1996;cc;2.13895487785339;0.210325092077255;6;98.3871002197266;93.0107498168945;100
OMNcc1996;OMN;Oman;1996;cc;0.414642155170441;0.262076586484909;4;67.7419357299805;56.9892463684082;77.4193572998047
PAKcc1996;PAK;Pakistan;1996;cc;-1.22003042697906;0.262076586484909;4;7.5268816947937;0;25.2688179016113
PLWcc1996;PLW;Palau;1996;cc;..;..;..;..;..;..
PANcc1996;PAN;Panama;1996;cc;-0.201105654239655;0.262076586484909;4;50.5376358032227;31.7204303741455;62.9032249450684
PNGcc1996;PNG;Papua New Guinea;1996;cc;-0.433467239141464;0.262076586484909;4;40.322582244873;22.0430107116699;57.5268821716309
PRYcc1996;PRY;Paraguay;1996;cc;-1.16601467132568;0.262076586484909;4;10.2150535583496;0.537634432315826;27.4193553924561
PERcc1996;PER;Peru;1996;cc;-0.398885548114777;0.244906529784203;5;41.9354820251465;25.2688179016113;57.5268821716309
PHLcc1996;PHL;Philippines;1996;cc;-0.358871847391129;0.188621625304222;7;45.6989250183105;30.6451606750488;54.3010749816895
POLcc1996;POL;Poland;1996;cc;0.707913815975189;0.210325092077255;6;75.8064498901367;65.0537643432617;81.1827926635742
PRTcc1996;PRT;Portugal;1996;cc;1.37154483795166;0.210325092077255;6;89.247314453125;81.1827926635742;91.9354858398437
PRIcc1996;PRI;Puerto Rico;1996;cc;0.421651005744934;0.480888694524765;1;69.3548355102539;44.0860214233398;84.4085998535156
QATcc1996;QAT;Qatar;1996;cc;-0.0455957651138306;0.262076586484909;4;54.8387107849121;37.634407043457;66.129035949707
ROMcc1996;ROM;Romania;1996;cc;-0.446042686700821;0.262076586484909;4;39.2473106384277;19.8924732208252;56.9892463684082
RUScc1996;RUS;Russian Federation;1996;cc;-1.05334162712097;0.210325092077255;6;15.0537633895874;2.68817210197449;29.0322589874268
RWAcc1996;RWA;Rwanda;1996;cc;-0.745139956474304;0.340506970882416;2;26.8817195892334;3.76344084739685;50.5376358032227
REUcc1996;REU;Réunion;1996;cc;..;..;..;..;..;..
WSMcc1996;WSM;Samoa;1996;cc;-0.0265951305627823;0.480888694524765;1;56.4516143798828;25.2688179016113;76.3440856933594
SMRcc1996;SMR;San Marino;1996;cc;..;..;..;..;..;..
SAUcc1996;SAU;Saudi Arabia;1996;cc;-0.163303330540657;0.262076586484909;4;51.075267791748;32.2580642700195;62.9032249450684
SENcc1996;SEN;Senegal;1996;cc;-0.142714694142342;0.262076586484909;4;52.1505393981934;32.7957000732422;62.9032249450684
SRBcc1996;SRB;Serbia;1996;cc;-1.14007151126862;0.262076586484909;4;11.8279571533203;0.537634432315826;29.0322589874268
SYCcc1996;SYC;Seychelles;1996;cc;0.545951545238495;0.340506970882416;2;72.5806427001953;56.9892463684082;81.1827926635742
SLEcc1996;SLE;Sierra Leone;1996;cc;-0.756474375724792;0.315914034843445;3;26.3440856933594;4.83870983123779;49.4623641967773
SGPcc1996;SGP;Singapore;1996;cc;2.10743379592896;0.188621625304222;7;97.3118286132812;93.0107498168945;100
SVKcc1996;SVK;Slovak Republic;1996;cc;0.21805427968502;0.244906529784203;5;62.9032249450684;50.5376358032227;73.118278503418
SVNcc1996;SVN;Slovenia;1996;cc;1.11418783664703;0.275613814592361;3;81.7204284667969;73.6559143066406;90.8602142333984
SLBcc1996;SLB;Solomon Islands;1996;cc;0.340782076120377;0.439479857683182;1;65.0537643432617;43.0107536315918;81.1827926635742
SOMcc1996;SOM;Somalia;1996;cc;-1.27383208274841;0.315914034843445;3;5.37634420394897;0;26.3440856933594
ZAFcc1996;ZAF;South Africa;1996;cc;0.73292738199234;0.210325092077255;6;76.3440856933594;66.129035949707;81.1827926635742
SSDcc1996;SSD;South Sudan;1996;cc;..;..;..;..;..;..
ESPcc1996;ESP;Spain;1996;cc;1.12921118736267;0.210325092077255;6;82.7957000732422;76.3440856933594;90.3225784301758
LKAcc1996;LKA;Sri Lanka;1996;cc;-0.0565393306314945;0.262076586484909;4;54.3010749816895;37.0967750549316;65.0537643432617
KNAcc1996;KNA;St. Kitts and Nevis;1996;cc;..;..;..;..;..;..
LCAcc1996;LCA;St. Lucia;1996;cc;..;..;..;..;..;..
VCTcc1996;VCT;St. Vincent and the Grenadines;1996;cc;..;..;..;..;..;..
SDNcc1996;SDN;Sudan;1996;cc;-1.24000644683838;0.262076586484909;4;6.98924732208252;0;25.2688179016113
SURcc1996;SUR;Suriname;1996;cc;0.185647144913673;0.315914034843445;3;61.2903213500977;46.2365608215332;75.2688140869141
SWEcc1996;SWE;Sweden;1996;cc;2.17398619651794;0.210325092077255;6;98.9247283935547;93.0107498168945;100
CHEcc1996;CHE;Switzerland;1996;cc;1.98697578907013;0.210325092077255;6;95.6989212036133;91.3978500366211;100
SYRcc1996;SYR;Syrian Arab Republic;1996;cc;-0.881176233291626;0.262076586484909;4;19.8924732208252;3.76344084739685;38.7096786499023
STPcc1996;STP;São Tomé and Principe;1996;cc;0.401667177677155;0.340506970882416;2;66.6666641235352;51.075267791748;81.1827926635742
TWNcc1996;TWN;Taiwan, China;1996;cc;0.58082103729248;0.188621625304222;7;73.118278503418;62.9032249450684;80.1075286865234
TJKcc1996;TJK;Tajikistan;1996;cc;-1.27303266525269;0.340506970882416;2;5.91397857666016;0;29.0322589874268
TZAcc1996;TZA;Tanzania;1996;cc;-0.702762424945831;0.262076586484909;4;29.5698928833008;12.3655910491943;47.8494606018066
THAcc1996;THA;Thailand;1996;cc;-0.361192047595978;0.188621625304222;7;45.1612892150879;30.6451606750488;54.3010749816895
TMPcc1996;TMP;Timor-Leste;1996;cc;..;..;..;..;..;..
TGOcc1996;TGO;Togo;1996;cc;-0.84262079000473;0.315914034843445;3;24.1935482025146;3.22580647468567;46.2365608215332
TONcc1996;TON;Tonga;1996;cc;..;..;..;..;..;..
TTOcc1996;TTO;Trinidad and Tobago;1996;cc;0.901226282119751;0.262076586484909;4;80.6451644897461;69.8924713134766;87.0967712402344
TUNcc1996;TUN;Tunisia;1996;cc;-0.533678114414215;0.262076586484909;4;35.4838714599609;17.7419357299805;53.2258071899414
TKMcc1996;TKM;Turkmenistan;1996;cc;-1.02149343490601;0.340506970882416;2;15.5913982391357;0.537634432315826;38.7096786499023
TUVcc1996;TUV;Tuvalu;1996;cc;..;..;..;..;..;..
TURcc1996;TUR;Türkiye;1996;cc;-0.148073524236679;0.210325092077255;6;51.6129035949707;36.559139251709;61.8279571533203
UGAcc1996;UGA;Uganda;1996;cc;-0.723757088184357;0.262076586484909;4;27.9569892883301;10.7526884078979;47.3118286132812
UKRcc1996;UKR;Ukraine;1996;cc;-1.11013698577881;0.255844444036484;4;13.4408597946167;0.537634432315826;29.5698928833008
AREcc1996;ARE;United Arab Emirates;1996;cc;-0.00557905901223421;0.312212377786636;3;57.5268821716309;35.4838714599609;72.0430145263672
GBRcc1996;GBR;United Kingdom;1996;cc;1.9805189371109;0.210325092077255;6;95.1612930297852;91.3978500366211;100
USAcc1996;USA;United States;1996;cc;1.57104122638702;0.210325092077255;6;91.3978500366211;84.4085998535156;94.0860214233398
URYcc1996;URY;Uruguay;1996;cc;1.12499630451202;0.262076586484909;4;82.2580642700195;74.7311859130859;90.8602142333984
UZBcc1996;UZB;Uzbekistan;1996;cc;-1.1288206577301;0.320798754692078;2;12.9032258987427;0;32.2580642700195
VUTcc1996;VUT;Vanuatu;1996;cc;0.216309443116188;0.439479857683182;1;62.365592956543;36.559139251709;80.6451644897461
VENcc1996;VEN;Venezuela, RB;1996;cc;-0.862947106361389;0.210325092077255;6;22.5806446075439;7.5268816947937;35.4838714599609
VNMcc1996;VNM;Viet Nam;1996;cc;-0.489798933267593;0.212362974882126;6;37.0967750549316;24.7311820983887;52.1505393981934
VIRcc1996;VIR;Virgin Islands (U.S.);1996;cc;..;..;..;..;..;..
WBGcc1996;WBG;West Bank and Gaza;1996;cc;0.0414915084838867;0.340506970882416;2;59.1397857666016;35.4838714599609;73.118278503418
YEMcc1996;YEM;Yemen, Rep.;1996;cc;-0.743732213973999;0.262076586484909;4;27.4193553924561;8.60215091705322;47.3118286132812
ZMBcc1996;ZMB;Zambia;1996;cc;-0.840640664100647;0.262076586484909;4;24.7311820983887;5.91397857666016;41.3978500366211
ZWEcc1996;ZWE;Zimbabwe;1996;cc;-0.27884715795517;0.244906529784203;5;47.8494606018066;30.6451606750488;60.7526893615723
AFGge1996;AFG;Afghanistan;1996;ge;-2.17516660690308;0.187617555260658;1;0;0;1.63934421539307
ALBge1996;ALB;Albania;1996;ge;-0.68858790397644;0.181661412119865;2;25.6830596923828;15.8469944000244;38.2513656616211
DZAge1996;DZA;Algeria;1996;ge;-1.08876645565033;0.173903718590736;3;13.1147537231445;6.01092910766602;21.8579235076904
ASMge1996;ASM;American Samoa;1996;ge;..;..;..;..;..;..
ADOge1996;ADO;Andorra;1996;ge;1.41403770446777;0.187617555260658;1;88.5245895385742;83.606559753418;91.2568283081055
