Country,Year,GDP growth (annual %),"Population, total",Gini index,"School enrollment, secondary (% gross)",Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),Poverty headcount ratio at $3.65 a day (2017 PPP) (% of population),General government final consumption expenditure (% of GDP),Exports of goods and services (% of GDP),Imports of goods and services (% of GDP),Trade Openness (% of GDP),"Inflation, consumer prices (annual %)",Rule of Law - estimate,Rule of Law - pctrank,Inequality Index
Peru,2016,3.95331871520767,30866494,43.6,101.344680786133,4.6,12.4,13.1636888035228,22.6003137409908,22.7885274554247,45.3888411964155,3.55717663556279,-0.496036291122437,33.8095245361328,
Peru,2017,2.51883544233135,31324637,43.3,100.209571838379,4.5,12.4,13.2122751962604,24.7198719746973,22.7936783872998,47.5135503619971,2.99490045809443,-0.523281574249268,31.9047622680664,
Peru,2018,3.969351341365,31897584,42.4,98.6095199584961,3.6,10.7,13.0774424949562,25.1921846722472,23.4392854994888,48.631470171736,1.50915423024742,-0.56674337387085,31.4285717010498,
Peru,2019,2.24063176875049,32449303,41.5,97.7029800415039,3,9.6,13.2443725852511,24.0390874349068,22.9044179405342,46.943505375441,2.25212191358027,-0.520058035850525,32.3809509277344,
Peru,2020,-10.9333065010382,32838579,43.7,97.5327911376953,5.8,17.4,15.8181030380089,23.0114431429931,21.2345240547509,44.245967197744,2.00241205759292,-0.382843524217606,39.523811340332,
Peru,2021,13.3552295093079,33155882,40.1,98.1648101806641,2.8,10,13.748263849359,29.1453585008766,26.1288963774221,55.274254878298706,4.27166381536798,-0.532514691352844,32.3809509277344,
Peru,2022,2.72550021563363,33475438,40.3,99.1219863891602,2.7,9.5,13.3719583340826,28.9044343292124,28.3466391065968,57.251073435809204,8.33370630096231,-0.552831411361694,31.1320762634277,
Peru,2023,-0.55018230632048,33845617,..,105.903396606445,..,..,13.6736669794183,27.0886151757731,23.8208931387619,50.909508314535,6.45561348369586,-0.538132667541504,30.1886787414551,
Peru,2024,..,..,..,..,..,..,..,..,..,,2.00770739412712,,,
Belize,1975,3.59282437676988,130387,..,..,..,..,..,..,..,,..,,,
Belize,1976,-0.034020934426735,133099,..,..,..,..,..,..,..,,..,,,
Belize,1977,6.49659440643893,135887,..,..,..,..,..,..,..,,..,,,
Belize,1978,7.92080717322925,138713,..,..,..,..,..,..,..,,..,,,
Belize,1979,7.51702144443351,141678,..,..,..,..,..,..,..,,..,,,
Belize,1980,12.1087499161075,145062,..,51.519229888916,..,..,11.8876627816628,34.5663080808081,44.1335505050505,78.6998585858586,..,,,
Belize,1981,1.1332973556395,148786,..,51.3456916809082,..,..,12.4088728667306,32.5877441994247,47.4159259827421,80.0036701821668,11.2244897960225,,,
Belize,1982,-0.106723585912476,152548,..,52.2651481628418,..,..,13.7655797626232,28.5447388855361,43.2922617179642,71.8370006035003,6.83903252716288,,,
Belize,1983,-2.1474358974359,156297,..,..,..,..,13.8009837879077,29.1880745756246,39.8619753957658,69.05004997139041,4.99609679980487,,,
Belize,1984,1.97619827492083,160044,..,..,..,..,13.1761856380231,37.4201336318237,43.3437673497503,80.76390098157401,3.38289962863707,,,
Belize,1985,1.00642398286939,163796,..,..,..,..,14.080806648103,29.116805081796,37.9564789418726,67.07328402366859,6.2371661180555,,,
Belize,1986,4.54738181047276,167554,..,61.7105484008789,..,..,13.7327253611557,33.5022414125201,36.1682444622793,69.6704858747994,0.799771493858953,,,
Belize,1987,10.7269593429991,171338,..,63.4358901977539,..,..,12.1892072217731,37.169499056858,39.6770734303422,76.8465724872002,2.01190138849529,,,
Belize,1988,9.78848090834173,175180,..,..,..,..,11.349375963934,38.219620832839,43.2725253292205,81.4921461620595,3.13888888888894,,,
Belize,1989,13.0108423686405,179107,..,..,..,..,10.2991109753614,35.2097331500713,43.2063014660965,78.41603461616779,2.12765957446807,,,
Belize,1990,11.4464944649447,183076,..,..,..,..,8.13305309330165,40.84803070456,38.5634652289135,79.4114959334735,3.05907172995786,,,
Belize,1991,11.7806767763724,187040,..,60.5052490234375,..,..,8.29006866521521,35.9236308825992,43.2088427399096,79.1324736225088,0.76195150080688,,,
Belize,1992,12.7310426540284,190983,..,..,..,..,13.0700179533214,41.0053859964093,39.2818671454219,80.2872531418312,2.39670073025188,,,
Belize,1993,6.13799989489728,194902,60.2,..,13.5,31.8,12.6851298399416,38.453875273959,37.2584180115561,75.7122932855151,1.4725969469368,,,
Belize,1994,-0.0198049215230043,199097,60.9,66.6948089599609,14.8,33.1,13.3367862229703,41.4994173248738,39.3629418619707,80.86235918684449,2.56934304644295,,,
Belize,1995,0.73292725201803,204146,..,66.8363037109375,..,..,13.4912398510469,40.1684878823027,37.116171173921,77.2846590562237,2.88961584372151,,,
Belize,1996,1.10614030775282,210310,56.5,..,18.2,41.5,13.8097196920726,41.7229828994535,37.7857436680966,79.5087265675501,5.96502097537242,0.084681548178196,54.773868560791,
Belize,1997,4.23514538558784,217446,60.4,..,20.9,43.1,15.1705976643004,43.7943668422258,41.6189603847035,85.4133272269293,1.1490375676054,,,
Belize,1998,3.89046974856558,225173,54.9,..,20.7,42.8,15.3846153846154,43.1414739107047,42.119419042496,85.2608929532007,2.1952625003759,-0.106160081923008,48.5,
Belize,1999,9.42481253648242,233059,53.2,64.5208435058594,19.6,39.1,15.0462384403899,44.0389902524369,49.2376905773557,93.27668082979261,2.62139524582746,,,
Belize,2000,12.2404595814526,240799,..,67.578971862793,..,..,14.3120554921415,42.8483624550004,53.6921591008868,96.5405215558872,3.06743966930585,0.0983268246054649,54.2288551330566,
Belize,2001,4.99396775490806,248379,..,69.4539337158203,..,..,15.0068212824011,41.8656207366985,51.2448840381992,93.1105047748977,3.65141786561502,,,
Belize,2002,5.39712385528743,256009,..,..,..,..,15.4260233800667,43.5865504358655,49.4114811392761,92.9980315751416,4.24026660688645,-0.0455109514296055,52.2388076782227,
Belize,2003,9.66665565429979,263780,..,75.6950531005859,..,..,15.4710061884025,44.5412178164871,49.774619909848,94.3158377263351,2.31808274663101,0.190566956996918,58.2089538574219,
Belize,2004,4.78084048802529,271688,..,77.1139907836914,..,..,14.9552057679266,42.260056394332,44.0803797694257,86.34043616375769,6.39443099742399,-0.0529214031994343,50.480770111084,
Belize,2005,2.21953884192973,279731,..,75.5892333984375,..,..,14.5428658598597,45.696464286925,47.2558391809892,92.95230346791419,-1.1043104441191,-0.0485887080430984,51.1961708068848,
Belize,2006,4.5114473758227,287878,..,76.1658782958984,..,..,13.6693586399774,51.7864437670867,47.0728718222669,98.8593155893536,-7.11376771265014,0.0238666515797377,54.0669860839844,
Belize,2007,3.35324829108133,296100,..,75.2803726196289,..,..,14.3518247320016,50.5535703825201,45.3400503778337,95.8936207603538,2.31808274642021,-0.0448062308132648,53.1100463867187,
Belize,2008,-1.68211644620352,304361,..,75.0440063476562,..,..,14.7507044683421,53.8271320950026,51.6130887342573,105.4402208292599,6.39443100250034,-0.133091673254967,50.961540222168,
Belize,2009,-0.389321468298107,312614,..,74.6411590576172,..,..,16.1385845424933,45.4249333728161,44.1220017767249,89.546935149541,-1.10431044864355,-0.323144495487213,45.0236968994141,
Belize,2010,1.11403578740261,320245,..,75.1025314331055,..,..,16.3544709858509,50.7246376811594,44.3088732313685,95.0335109125279,0.917977378808888,-0.281174033880234,46.445499420166,
Belize,2011,-0.244543781225346,327298,..,75.6254501342773,..,..,16.3378123204072,56.867628143729,50.3270299116061,107.1946580553351,1.602056156402,-0.469881325960159,39.4366188049316,
Belize,2012,3.73777578617181,334414,..,78.3177337646484,..,..,16.0783492196501,59.5736880695506,52.0582381900073,111.6319262595579,1.30058074547858,-0.435866832733154,41.3145523071289,
Belize,2013,4.45432600686063,341627,..,80.1997528076172,..,..,16.4801377444349,56.0816627721068,52.7118435616775,108.79350633378431,0.50974776898322,-0.451571971178055,41.7840385437012,
Belize,2014,4.03084557750317,348923,..,79.9702529907227,..,..,16.2516076230562,55.4893019992985,51.6310066643283,107.12030866362679,1.20139964481058,-0.814675211906433,21.634614944458,
Belize,2015,2.87618379515959,356333,..,80.9736709594727,..,..,17.1906705273478,51.5720115820433,52.50678279109,104.07879437313329,-0.861584009427748,-0.79416161775589,23.8095245361328,
Belize,2016,0.0545516535970023,364705,..,87.4975967407227,..,..,18.1233818409071,47.2948843853227,49.1697169895545,96.4646013748772,0.663427167917601,-0.97061550617218,17.1428565979004,
Belize,2017,-1.81285354051658,373202,..,84.7784423828125,..,..,18.8192207562988,49.7948197502537,47.8974539999117,97.6922737501654,1.14765339305816,-0.97460526227951,15.7142858505249,
Belize,2018,1.11057125008675,380226,..,86.3165817260742,..,..,19.4047748828082,51.5643737054399,49.1006213888586,100.66499509429849,0.269982622646335,-0.842516541481018,20,
Belize,2019,4.26763689618086,385829,..,87.3793334960938,..,..,18.7581124649332,51.8569693924549,50.2658794958757,102.1228488883306,0.187069385181424,-0.855883598327637,21.4285717010498,
Belize,2020,-13.9029100645218,390812,..,85.9464797973633,..,..,17.3287319186431,37.7169150941087,44.1050493183543,81.82196441246299,0.121434644614894,-0.826539576053619,21.4285717010498,
Belize,2021,17.7461701205679,395346,..,88.7403106689453,..,..,16.6904215983971,47.7370845469005,51.5791865485117,99.31627109541219,3.23563659237071,-0.800227999687195,23.3333339691162,
Belize,2022,9.65297772389758,402733,..,86.9924087524414,..,..,15.8077774264938,53.2722099272842,55.2569642041662,108.5291741314504,6.27689319447544,-0.720160663127899,24.5283012390137,
Belize,2023,1.14901682065862,411106,..,83.3849182128906,..,..,15.7460162707664,55.292084712327,51.2396709979295,106.5317557102565,4.38984017487675,-0.635611891746521,27.8301887512207,
Belize,2024,..,..,..,..,..,..,..,..,..,,3.28955985952768,,,
Costa Rica,1975,2.10007104948492,2092719,..,41.6517601013184,..,..,15.2214275568679,30.0620070103543,38.5477788138235,68.6097858241778,17.3692020226552,,,
Costa Rica,1976,5.51756440295588,2147774,..,42.2046318054199,..,..,15.9917970941593,28.9089554837586,34.9107160130782,63.819671496836804,3.48583333291706,,,
