COUNTRY,INDICATOR,TYPE_OF_TRANSFORMATION,Year,Value
Argentina,"Deposit accounts, Commercial banks",Number,2016.0,53151682.0
Argentina,"Deposit accounts, Commercial banks",Number,2017.0,59965222.0
Argentina,"Deposit accounts, Commercial banks",Number,2018.0,65034344.0
Argentina,"Deposit accounts, Commercial banks",Number,2019.0,68673019.0
Argentina,"Deposit accounts, Commercial banks",Number,2020.0,80223775.0
Argentina,"Deposit accounts, Commercial banks",Number,2021.0,86191226.0
Argentina,"Deposit accounts, Commercial banks",Number,2022.0,96656046.0
Argentina,"Deposit accounts, Commercial banks",Number,2023.0,105948131.0
Argentina,"Deposit accounts, Credit unions and credit cooperatives",Number,2004.0,864.0
Argentina,"Deposit accounts, Credit unions and credit cooperatives",Number,2005.0,1605.0
Argentina,"Deposit accounts, Credit unions and credit cooperatives",Number,2006.0,3312.0
Argentina,"Deposit accounts, Credit unions and credit cooperatives",Number,2007.0,3759.0
Argentina,"Deposit accounts, Credit unions and credit cooperatives",Number,2008.0,3649.0
Argentina,"Deposit accounts, Credit unions and credit cooperatives",Number,2009.0,4679.0
Argentina,"Deposit accounts, Credit unions and credit cooperatives",Number,2010.0,4653.0
Argentina,"Deposit accounts, Credit unions and credit cooperatives",Number,2011.0,5562.0
Argentina,"Deposit accounts, Credit unions and credit cooperatives",Number,2012.0,5847.0
Argentina,"Deposit accounts, Credit unions and credit cooperatives",Number,2013.0,538.0
Argentina,"Deposit accounts, Credit unions and credit cooperatives",Number,2014.0,693.0
Argentina,"Deposit accounts, Credit unions and credit cooperatives",Number,2015.0,699.0
Argentina,"Deposit accounts, Credit unions and credit cooperatives",Number,2016.0,698.0
Argentina,"Deposit accounts, Credit unions and credit cooperatives",Number,2017.0,953.0
Argentina,"Deposit accounts, Credit unions and credit cooperatives",Number,2018.0,975.0
Argentina,"Deposit accounts, Credit unions and credit cooperatives",Number,2019.0,
Argentina,"Deposit accounts, Credit unions and credit cooperatives",Number,2020.0,
Argentina,"Deposit accounts, Credit unions and credit cooperatives",Number,2021.0,
Argentina,"Deposit accounts, Credit unions and credit cooperatives",Number,2022.0,
Argentina,"Deposit accounts, Credit unions and credit cooperatives",Number,2023.0,
Argentina,"Depositors, Commercial banks",Number,2004.0,
Argentina,"Depositors, Commercial banks",Number,2005.0,
Argentina,"Depositors, Commercial banks",Number,2006.0,
Argentina,"Depositors, Commercial banks",Number,2007.0,
Argentina,"Depositors, Commercial banks",Number,2008.0,
Argentina,"Depositors, Commercial banks",Number,2009.0,
Argentina,"Depositors, Commercial banks",Number,2010.0,
Argentina,"Depositors, Commercial banks",Number,2011.0,
Argentina,"Depositors, Commercial banks",Number,2012.0,
Argentina,"Depositors, Commercial banks",Number,2013.0,
Argentina,"Depositors, Commercial banks",Number,2014.0,
Argentina,"Depositors, Commercial banks",Number,2015.0,
Argentina,"Depositors, Commercial banks",Number,2016.0,
Argentina,"Depositors, Commercial banks",Number,2017.0,
Argentina,"Depositors, Commercial banks",Number,2018.0,
Argentina,"Depositors, Commercial banks",Number,2019.0,28228702.0
Argentina,"Depositors, Commercial banks",Number,2020.0,31701323.0
Argentina,"Depositors, Commercial banks",Number,2021.0,32356882.0
Argentina,"Depositors, Commercial banks",Number,2022.0,34146825.0
Argentina,"Depositors, Commercial banks",Number,2023.0,35355486.0
Argentina,"Loan accounts, Commercial banks",Number,2004.0,5866314.0
Argentina,"Loan accounts, Commercial banks",Number,2005.0,6935071.0
Argentina,"Loan accounts, Commercial banks",Number,2006.0,8522021.0
Argentina,"Loan accounts, Commercial banks",Number,2007.0,10214674.0
Argentina,"Loan accounts, Commercial banks",Number,2008.0,11688415.0
Argentina,"Loan accounts, Commercial banks",Number,2009.0,12354995.0
Argentina,"Loan accounts, Commercial banks",Number,2010.0,13050802.0
Argentina,"Loan accounts, Commercial banks",Number,2011.0,14381878.0
