COUNTRY,INDICATOR,TYPE_OF_TRANSFORMATION,year,value
Argentina,"Branches excluding headquarters, Deposit taking microfinance institutions",Number,2023,
Argentina,"Branches excluding headquarters, Non-deposit taking microfinance institutions",Number,2004,
Argentina,"Branches excluding headquarters, Non-deposit taking microfinance institutions",Number,2005,
Argentina,"Branches excluding headquarters, Non-deposit taking microfinance institutions",Number,2006,
Argentina,"Branches excluding headquarters, Non-deposit taking microfinance institutions",Number,2007,
Argentina,"Branches excluding headquarters, Non-deposit taking microfinance institutions",Number,2008,
Argentina,"Branches excluding headquarters, Non-deposit taking microfinance institutions",Number,2009,
Argentina,"Branches excluding headquarters, Non-deposit taking microfinance institutions",Number,2010,
Argentina,"Branches excluding headquarters, Non-deposit taking microfinance institutions",Number,2011,
Argentina,"Branches excluding headquarters, Non-deposit taking microfinance institutions",Number,2012,
Argentina,"Branches excluding headquarters, Non-deposit taking microfinance institutions",Number,2013,
Argentina,"Branches excluding headquarters, Non-deposit taking microfinance institutions",Number,2014,
Argentina,"Branches excluding headquarters, Non-deposit taking microfinance institutions",Number,2015,
Argentina,"Branches excluding headquarters, Non-deposit taking microfinance institutions",Number,2016,
Argentina,"Branches excluding headquarters, Non-deposit taking microfinance institutions",Number,2017,
Argentina,"Branches excluding headquarters, Non-deposit taking microfinance institutions",Number,2018,
Argentina,"Branches excluding headquarters, Non-deposit taking microfinance institutions",Number,2019,
Argentina,"Branches excluding headquarters, Non-deposit taking microfinance institutions",Number,2020,
Argentina,"Branches excluding headquarters, Non-deposit taking microfinance institutions",Number,2021,
Argentina,"Branches excluding headquarters, Non-deposit taking microfinance institutions",Number,2022,
Argentina,"Branches excluding headquarters, Non-deposit taking microfinance institutions",Number,2023,
Argentina,"Branches excluding headquarters, Other deposit takers",Number,2004,28.0
Argentina,"Branches excluding headquarters, Other deposit takers",Number,2005,75.0
Argentina,"Branches excluding headquarters, Other deposit takers",Number,2006,75.0
Argentina,"Branches excluding headquarters, Other deposit takers",Number,2007,89.0
Argentina,"Branches excluding headquarters, Other deposit takers",Number,2008,87.0
Argentina,"Branches excluding headquarters, Other deposit takers",Number,2009,87.0
Argentina,"Branches excluding headquarters, Other deposit takers",Number,2010,59.0
Argentina,"Branches excluding headquarters, Other deposit takers",Number,2011,59.0
Argentina,"Branches excluding headquarters, Other deposit takers",Number,2012,59.0
Argentina,"Branches excluding headquarters, Other deposit takers",Number,2013,60.0
Argentina,"Branches excluding headquarters, Other deposit takers",Number,2014,60.0
Argentina,"Branches excluding headquarters, Other deposit takers",Number,2015,60.0
Argentina,"Branches excluding headquarters, Other deposit takers",Number,2016,76.0
Argentina,"Branches excluding headquarters, Other deposit takers",Number,2017,81.0
