countryname,year,estimate,stddev,nsource,pctrank,pctranklower,pctrankupper
Panama,2003,-0.140504896640778,0.185575753450394,10,48.756217956543,39.8009948730469,57.7114410400391
Paraguay,2003,-1.05233979225159,0.185575753450394,10,16.9154224395752,7.46268653869629,27.3631839752197
Peru,2003,-0.588656902313232,0.185575753450394,10,33.8308448791504,21.8905467987061,44.2786064147949
Puerto Rico,2003,0.703260600566864,0.355438649654388,1,70.1492538452148,56.2189064025879,88.5572128295898
Suriname,2003,-0.0528743378818035,0.254073470830917,6,50.2487564086914,39.3034820556641,62.6865653991699
Uruguay,2003,0.656516373157501,0.187468230724335,9,68.6567153930664,62.6865653991699,82.0895538330078
Argentina,2004,-0.767380177974701,0.165950462222099,12,25.480770111084,16.3461532592773,36.538459777832
Belize,2004,-0.0529214031994343,0.266626268625259,5,50.480770111084,37.5,61.0576934814453
Bolivia,2004,-0.626744568347931,0.170455798506737,13,33.1730766296387,19.230770111084,42.788459777832
Brazil,2004,-0.400920122861862,0.165950462222099,12,41.3461532592773,31.730770111084,48.0769233703613
Chile,2004,1.16569674015045,0.165950462222099,12,86.538459777832,76.9230804443359,91.8269195556641
Colombia,2004,-0.695200145244598,0.161291882395744,14,29.8076915740967,17.7884616851807,39.9038467407227
Costa Rica,2004,0.50290322303772,0.17177851498127,12,64.4230804443359,58.1730766296387,70.6730804443359
Cuba,2004,-1.10711979866028,0.189814954996109,9,15.384614944458,6.73076915740967,22.115385055542
Dominican Republic,2004,-0.680870890617371,0.17177851498127,12,30.769229888916,17.7884616851807,41.3461532592773
Ecuador,2004,-0.764899849891663,0.170455798506737,13,25.9615383148193,16.3461532592773,37.5
El Salvador,2004,-0.490908056497574,0.17177851498127,12,37.019229888916,25,45.1923065185547
Guatemala,2004,-1.06209850311279,0.170455798506737,13,16.3461532592773,6.73076915740967,24.0384616851807
Guyana,2004,-0.619943141937256,0.24734890460968,7,33.6538467407227,16.3461532592773,45.1923065185547
Haiti,2004,-1.72932910919189,0.232687413692474,9,1.44230771064758,0,6.73076915740967
Honduras,2004,-0.850290715694427,0.170455798506737,13,21.634614944458,13.942307472229,35.5769233703613
Mexico,2004,-0.409910470247269,0.162411153316498,13,40.8653831481934,31.25,47.5961532592773
Nicaragua,2004,-0.788531184196472,0.170455798506737,13,24.0384616851807,15.865385055542,36.538459777832
Panama,2004,-0.107689194381237,0.17177851498127,12,50,42.3076934814453,57.211540222168
Paraguay,2004,-0.981866180896759,0.174561247229576,12,17.7884616851807,8.65384578704834,29.3269233703613
Peru,2004,-0.545422077178955,0.174561247229576,12,36.0576934814453,21.634614944458,44.230770111084
